1
7*x1-log(x1)
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
Tempo derivadas | 7.62064941406250e+02	| 7.71353515625000e+02	| 8.47407714843750e+02
Tempo SL 	| 2.17456054687500e+00	| 2.67602539062500e+00	| 4.60961914062500e+00
#

10
100*(x2-x1^2)^2+(1-x1)^2+100*(x3-x2^2)^2+(1-x2)^2+100*(x4-x3^2)^2+(1-x3)^2+100*(x5-x4^2)^2+(1-x4)^2+100*(x6-x5^2)^2+(1-x5)^2+100*(x7-x6^2)^2+(1-x6)^2+100*(x8-x7^2)^2+(1-x7)^2+100*(x9-x8^2)^2+(1-x8)^2+100*(x10-x9^2)^2+(1-x9)^2+0
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0 		| 9.27090000000000e-02	| 9.27090000000000e-02	| 9.27090000000000e-02	 
1 		| 1.72793152576069e-04	| 1.72793152576069e-04	| 1.32036577704771e-04	 
2 		| 1.00128041094532e-06	| 4.27492118339507e-04	| 6.91943187990323e-05	 
3 		| 1.39877013701217e-12	| 1.72269500219019e-03	| 5.37979550037462e-05	 
4 		| 1.17560458081406e-22	| 9.02132457410875e-03	| 4.18132151787652e-05	 
5 		| 			| 2.06424807960608e-02	| 3.24881729989159e-05	 
6 		| 			| 9.55666059911216e-02	| 2.52357821780556e-05	 
7 		| 			| 9.81129112353954e+01	| 1.95975616634451e-05	 
8 		| 			| 1.79982215758997e+03	| 1.52157557745622e-05	 
9 		| 			| 2.85203445891142e+04	| 1.18114235218650e-05	 
10 		| 			| 6.01053939560686e+07	| 9.16722550719928e-06	 
11 		| 			| 1.28396971552745e+07	| 7.11392289238726e-06	 
12 		| 			| 5.58436633183538e+14	| 5.51980282738924e-06	 
13 		| 			| 9.36817039554921e+39	| 4.28240627141925e-06	 
14 		| 			| 1.96616572421557e+115	| 3.32206397089644e-06	 
15 		| 			| 			| 2.57685021492084e-06	 
16 		| 			| 			| 1.99864673396819e-06	 
17 		| 			| 			| 1.55007480321074e-06	 
18 		| 			| 			| 1.20210561403671e-06	 
19 		| 			| 			| 9.32200032636397e-07	 
20 		| 			| 			| 7.22861203588621e-07	 
Tempo total 	| 6.66186523437500e+00	| 1.15871582031250e+01	| 2.76748046875000e+01
Tempo derivadas | 7.68508300781250e+02	| 7.82139648437500e+02	| 8.73683105468750e+02
Tempo SL 	| 2.18920898437500e+00	| 2.74267578125000e+00	| 5.21484375000000e+00
#

20
100*(x2-x1^2)^2+(1-x1)^2+100*(x3-x2^2)^2+(1-x2)^2+100*(x4-x3^2)^2+(1-x3)^2+100*(x5-x4^2)^2+(1-x4)^2+100*(x6-x5^2)^2+(1-x5)^2+100*(x7-x6^2)^2+(1-x6)^2+100*(x8-x7^2)^2+(1-x7)^2+100*(x9-x8^2)^2+(1-x8)^2+100*(x10-x9^2)^2+(1-x9)^2+100*(x11-x10^2)^2+(1-x10)^2+100*(x12-x11^2)^2+(1-x11)^2+100*(x13-x12^2)^2+(1-x12)^2+100*(x14-x13^2)^2+(1-x13)^2+100*(x15-x14^2)^2+(1-x14)^2+100*(x16-x15^2)^2+(1-x15)^2+100*(x17-x16^2)^2+(1-x16)^2+100*(x18-x17^2)^2+(1-x17)^2+100*(x19-x18^2)^2+(1-x18)^2+100*(x20-x19^2)^2+(1-x19)^2+0
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0 		| 1.95719000000000e-01	| 1.95719000000000e-01	| 1.95719000000000e-01	 
1 		| 2.54430653407336e-04	| 2.54430653407336e-04	| 2.13551708747690e-04	 
2 		| 1.00772715787785e-06	| 5.37122112246689e-03	| 6.94268918980736e-05	 
3 		| 1.43378366974566e-12	| 1.72197291762372e-02	| 5.39789639504617e-05	 
4 		| 1.23468770177540e-22	| 1.85705514770056e-01	| 4.19540860944450e-05	 
5 		| 			| 1.76801632102996e+00	| 3.25977550284902e-05	 
6 		| 			| 2.31443145033983e+01	| 2.53209896370942e-05	 
7 		| 			| 6.92823325324485e+02	| 1.96637920170056e-05	 
8 		| 			| 2.42447555328012e+03	| 1.52672189116025e-05	 
9 		| 			| 6.22664320768828e+04	| 1.18514006492679e-05	 
10 		| 			| 4.52296227442503e+07	| 9.19827236085985e-06	 
11 		| 			| 1.46705828988415e+17	| 7.13802900305595e-06	 
12 		| 			| 2.06525466262784e+46	| 5.53851618026503e-06	 
13 		| 			| 6.22353927253613e+133	| 4.29693076582905e-06	 
14 		| 			| 			| 3.33333553718357e-06	 
15 		| 			| 			| 2.58559620899375e-06	 
16 		| 			| 			| 2.00543224665270e-06	 
17 		| 			| 			| 1.55533874205575e-06	 
18 		| 			| 			| 1.20618879912474e-06	 
19 		| 			| 			| 9.35367062132650e-07	 
20 		| 			| 			| 7.25317462512993e-07	 
Tempo total 	| 4.65629882812500e+01	| 6.16250000000000e+01	| 1.89532958984375e+02
Tempo derivadas | 8.14464355468750e+02	| 8.41914306640625e+02	| 1.05941699218750e+03
Tempo SL 	| 2.26245117187500e+00	| 3.13012695312500e+00	| 7.21386718750000e+00
#

32
